Rank,Name,Total_Net_Worth,Total_Net_Worth_Bil,LastChange,LastChange_Bil,YTDChange,YTDChange_Bil,Country,Industry
154,Mikhail Prokhorov ,$14.0B,14,+$18.8M,0.0188,+$1.26B,1.26,RussianFederation,Diversified
155,Sam Bankman-Fried ,$14.0B,14,+$189M,0.189,+$12.3B,12.3,UnitedStates,Finance
156,Charles Schwab ,$13.9B,13.9,+$4.84M,0.00484,+$3.98B,3.98,UnitedStates,Finance
157,Reinhold Wuerth ,$13.8B,13.8,$0 ,0,-$2.52B,-2.52,Germany,Industrial
158,Dilip Shanghvi ,$13.7B,13.7,-$252M,-0.252,+$3.46B,3.46,India,Health Care
159,Jan Koum ,$13.6B,13.6,$0 ,0,+$1.59B,1.59,UnitedStates,Technology
160,Wu Yajun ,$13.6B,13.6,-$137M,-0.137,-$2.51B,-2.51,China,Real Estate
161,Melker Schorling ,$13.6B,13.6,-$244M,-0.244,+$2.19B,2.19,Sweden,Diversified
162,Zhang Bo ,$13.6B,13.6,+$217M,0.217,+$7.23B,7.23,China,Industrial
163,Eric Yuan ,$13.5B,13.5,-$91.5M,-0.0915,-$2.91B,-2.91,UnitedStates,Technology
164,Zhang Congyuan ,$13.5B,13.5,-$143M,-0.143,+$8.41B,8.41,Taiwan,Industrial
165,Robert Pera ,$13.4B,13.4,-$44.3M,-0.0443,+$1.21B,1.21,UnitedStates,Technology
166,Charles Ergen ,$13.3B,13.3,-$32.8M,-0.0328,+$2.62B,2.62,UnitedStates,Media&Telecom
167,Leon Black ,$13.1B,13.1,-$125M,-0.125,+$3.15B,3.15,UnitedStates,Finance
168,Gong Hongjia ,$13.0B,13,-$14.0M,-0.014,+$2.94B,2.94,China,Technology
169,Savitri Jindal ,$13.0B,13,+$20.3M,0.0203,+$5.65B,5.65,India,Commodities
170,Hugh Grosvenor ,$12.9B,12.9,$0 ,0,+$205M,0.205,UnitedKingdom,Real Estate
171,Tobi Lutke ,$12.4B,12.4,+$129M,0.129,+$2.60B,2.6,Canada,Technology
172,George Roberts ,$12.4B,12.4,+$36.7M,0.0367,+$4.06B,4.06,UnitedStates,Finance
173,Fan Hongwei ,$12.4B,12.4,+$33.7M,0.0337,-$133M,-0.133,China,Energy
174,Brian Armstrong ,$12.2B,12.2,+$28.8M,0.0288,+$2.14B,2.14,UnitedStates,Technology
175,David Geffen ,$12.2B,12.2,-$155M,-0.155,+$1.13B,1.13,UnitedStates,Entertainment
176,Ugur Sahin ,$12.2B,12.2,-$220M,-0.22,+$8.73B,8.73,Germany,Health Care
177,Dang Yanbao ,$12.2B,12.2,-$82.1M,-0.0821,+$2.76B,2.76,China,Energy
178,Liu Hanyuan ,$12.2B,12.2,+$343M,0.343,+$4.74B,4.74,China,Industrial
179,Sun Piaoyang ,$12.1B,12.1,+$83.3M,0.0833,-$9.21B,-9.21,China,Health Care
180,Kumar Birla ,$12.0B,12,-$39.8M,-0.0398,+$5.18B,5.18,India,Industrial
181,Henry Kravis ,$12.0B,12,+$34.1M,0.0341,+$3.77B,3.77,UnitedStates,Finance
182,Marijke Mars ,$11.9B,11.9,-$253M,-0.253,+$1.51B,1.51,UnitedStates,Food&Beverage
183,Victoria Mars ,$11.9B,11.9,-$253M,-0.253,+$1.51B,1.51,UnitedStates,Food&Beverage
184,Pamela Mars-Wright ,$11.9B,11.9,-$253M,-0.253,+$1.51B,1.51,UnitedStates,Food&Beverage
185,Valerie Mars ,$11.9B,11.9,-$253M,-0.253,+$1.51B,1.51,UnitedStates,Food&Beverage
186,Jorge Moll&family ,$11.9B,11.9,-$22.4M,-0.0224,-$2.47B,-2.47,Brazil,Health Care
187,Joe Gebbia ,$11.8B,11.8,-$70.4M,-0.0704,+$1.58B,1.58,UnitedStates,Services
188,Melinda French Gates,$11.8B,11.8,-$53.0M,-0.053,+$11.8B,11.8,UnitedStates,Diversified
189,Robin Li ,$11.8B,11.8,-$452M,-0.452,-$3.84B,-3.84,China,Technology
190,Nathan Blecharczyk ,$11.8B,11.8,-$68.3M,-0.0683,+$1.50B,1.5,UnitedStates,Services
191,Liu Jincheng ,$11.7B,11.7,-$29.9M,-0.0299,+$3.65B,3.65,China,Industrial
192,Eyal Ofer ,$11.7B,11.7,+$4.94M,0.00494,+$1.35B,1.35,Israel,Services
193,Alejandro Santo Domingo&family,$11.7B,11.7,-$259M,-0.259,-$821M,-0.821,Colombia,Food&Beverage
194,Steven Rales ,$11.6B,11.6,+$243M,0.243,+$3.38B,3.38,UnitedStates,Industrial
195,Sarath Ratanavadi ,$11.5B,11.5,-$247M,-0.247,+$2.29B,2.29,Thailand,Energy
196,Raymond Kwok ,$11.5B,11.5,+$41.3M,0.0413,+$341M,0.341,HongKong,Real Estate
197,Jim Davis ,$11.5B,11.5,+$76.0M,0.076,-$2.18B,-2.18,UnitedStates,Consumer
198,Marc Benioff ,$11.5B,11.5,+$30.6M,0.0306,+$2.54B,2.54,UnitedStates,Technology
199,Sunil Mittal ,$11.4B,11.4,-$103M,-0.103,+$2.55B,2.55,India,Media&Telecom
200,Paolo Rocca&family ,$11.4B,11.4,-$140M,-0.14,+$1.41B,1.41,Italy,Commodities
201,Patrick Collison ,$11.4B,11.4,$0 ,0,+$7.08B,7.08,Ireland,Technology
202,John Collison ,$11.4B,11.4,$0 ,0,+$7.08B,7.08,Ireland,Technology
203,Suleiman Kerimov ,$11.3B,11.3,-$98.1M,-0.0981,+$1.44B,1.44,RussianFederation,Commodities
204,Dmitry Rybolovlev ,$11.3B,11.3,-$6.38M,-0.00638,+$888M,0.888,RussianFederation,Diversified
205,Qi Shi ,$11.2B,11.2,+$179M,0.179,+$1.03B,1.03,China,Finance
206,Stan Kroenke ,$11.2B,11.2,$0 ,0,+$2.86B,2.86,UnitedStates,Real Estate
207,Jin Baofang ,$11.2B,11.2,+$1.01B,1.01,+$6.46B,6.46,China,Energy
208,Micky Arison ,$11.2B,11.2,+$16.3M,0.0163,+$1.12B,1.12,UnitedStates,Entertainment
209,Gang Ye ,$11.2B,11.2,-$309M,-0.309,+$4.88B,4.88,Singapore,Technology
210,Brian Kim ,$11.2B,11.2,-$59.4M,-0.0594,+$4.22B,4.22,Korea,Technology
211,Pierre Omidyar ,$11.1B,11.1,+$2.80M,0.0028,-$143M,-0.143,UnitedStates,Technology
212,Thomas Kwok ,$11.1B,11.1,+$37.3M,0.0373,+$328M,0.328,HongKong,Real Estate
213,Steve Cohen ,$11.1B,11.1,+$5.43M,0.00543,+$920M,0.92,UnitedStates,Finance
214,Rinat Akhmetov ,$11.1B,11.1,-$103M,-0.103,+$3.53B,3.53,Ukraine,Industrial
215,Carl Bennet ,$11.0B,11,-$228M,-0.228,+$4.18B,4.18,Sweden,Finance
216,Anders Holch Povlsen&family,$11.0B,11,-$115M,-0.115,+$1.65B,1.65,Denmark,Retail
217,John Grayken ,$11.0B,11,-$76.6M,-0.0766,+$2.80B,2.8,Ireland,Finance
218,Zhou Qunfei ,$11.0B,11,+$690M,0.69,-$4.02B,-4.02,China,Technology
219,Antonia Axson Johnson,$11.0B,11,-$45.9M,-0.0459,+$1.86B,1.86,Sweden,Industrial
220,Bobby Murphy ,$10.7B,10.7,-$357M,-0.357,+$657M,0.657,UnitedStates,Technology
221,Heinrich Deichmann&family ,$10.7B,10.7,-$179M,-0.179,+$140M,0.14,Germany,Retail
222,Harry Triguboff ,$10.7B,10.7,$0 ,0,+$1.01B,1.01,Australia,Real Estate
223,Michael Platt ,$10.7B,10.7,$0 ,0,+$5.80B,5.8,UnitedKingdom,Finance
224,Stephane Bancel ,$10.7B,10.7,-$83.7M,-0.0837,+$7.41B,7.41,France,Health Care
225,Dietmar Hopp ,$10.5B,10.5,-$226M,-0.226,+$803M,0.803,Germany,Technology
226,Gordon Moore ,$10.5B,10.5,+$120M,0.12,+$221M,0.221,UnitedStates,Technology
227,Christy Walton ,$10.5B,10.5,+$52.1M,0.0521,+$474M,0.474,UnitedStates,Retail
228,Cao Renxian ,$10.5B,10.5,-$462M,-0.462,+$5.95B,5.95,China,Technology
229,Patrick Soon-Shiong ,$10.5B,10.5,-$117M,-0.117,-$936M,-0.936,UnitedStates,Health Care
230,Carl Cook ,$10.5B,10.5,-$100M,-0.1,-$158M,-0.158,UnitedStates,Health Care
231,Michael Kadoorie ,$10.4B,10.4,-$6.14M,-0.00614,+$565M,0.565,HongKong,Energy
232,Stan Druckenmiller ,$10.4B,10.4,$0 ,0,+$4.60B,4.6,UnitedStates,Finance
233,Qian Dongqi ,$10.3B,10.3,+$297M,0.297,+$5.08B,5.08,China,Technology
234,Stefano Pessina ,$10.3B,10.3,-$11.6M,-0.0116,+$1.50B,1.5,Monaco,Retail
235,German Khan ,$10.2B,10.2,-$50.3M,-0.0503,+$449M,0.449,RussianFederation,Diversified
236,Laurent Dassault ,$10.2B,10.2,-$45.1M,-0.0451,+$2.57B,2.57,France,Diversified
237,Marie-Helene Habert-Dassault ,$10.2B,10.2,-$45.1M,-0.0451,+$2.57B,2.57,France,Diversified
238,Thierry Dassault ,$10.2B,10.2,-$45.1M,-0.0451,+$2.57B,2.57,France,Diversified
239,Johann Rupert&family ,$10.1B,10.1,-$155M,-0.155,+$2.10B,2.1,SouthAfrica,Diversified
240,Emmanuel Besnier ,$10.1B,10.1,-$110M,-0.11,-$66.9M,-0.0669,France,Food&Beverage
241,Marcel Telles ,$10.1B,10.1,-$279M,-0.279,-$1.22B,-1.22,Brazil,Food&Beverage
242,Evan Spiegel ,$10.0B,10,-$310M,-0.31,+$619M,0.619,UnitedStates,Technology
243,John Albert Sobrato,$9.97B,9.97,$0 ,0,+$1.13B,1.13,UnitedStates,Real Estate
244,Gianluigi Aponte ,$9.95B,9.95,$0 ,0,+$392M,0.392,Switzerland,Services
245,Li Ge ,$9.94B,9.94,+$211M,0.211,+$2.14B,2.14,UnitedStates,Health Care
246,Les Wexner ,$9.94B,9.94,-$2.02M,-0.00202,+$1.97B,1.97,UnitedStates,Retail
247,Chen Zhiping ,$9.92B,9.92,+$152M,0.152,-$5.69B,-5.69,China,Consumer
248,Jay Y. Lee,$9.91B,9.91,-$268M,-0.268,-$18.1B,-18.1,Korea,Diversified
249,Liu Yongxing ,$9.91B,9.91,-$17.7M,-0.0177,+$151M,0.151,China,Industrial
250,John Fredriksen ,$9.86B,9.86,-$114M,-0.114,+$1.16B,1.16,Cyprus,Industrial
251,Li Ping ,$9.84B,9.84,+$469M,0.469,+$4.37B,4.37,China,Industrial
252,Izzy Englander ,$9.82B,9.82,+$12.6M,0.0126,+$3.06B,3.06,UnitedStates,Finance
253,Graeme Hart ,$9.81B,9.81,+$51.5M,0.0515,-$1.99B,-1.99,New Zealand,Finance
254,Liu Yonghao ,$9.79B,9.79,+$212M,0.212,-$3.57B,-3.57,China,Diversified
255,Ding Shizhong ,$9.77B,9.77,-$86.3M,-0.0863,+$24.4M,0.0244,China,Consumer
256,Zhong Huijuan ,$9.74B,9.74,-$264M,-0.264,-$10.1B,-10.1,China,Health Care
257,KP Singh  ,$9.69B,9.69,+$30.1M,0.0301,+$4.03B,4.03,India,Real Estate
258,Leonid Fedun ,$9.66B,9.66,-$98.9M,-0.0989,+$2.99B,2.99,RussianFederation,Energy
259,Jerry Jones ,$9.65B,9.65,-$43.8M,-0.0438,+$3.26B,3.26,UnitedStates,Entertainment
260,Wee Cho Yaw,$9.61B,9.61,-$45.5M,-0.0455,+$1.13B,1.13,Singapore,Finance
261,Andy Beal ,$9.59B,9.59,$0 ,0,+$786M,0.786,UnitedStates,Finance
262,John Malone ,$9.53B,9.53,-$84.2M,-0.0842,+$1.45B,1.45,UnitedStates,Media&Telecom
263,Georg Schaeffler ,$9.43B,9.43,-$104M,-0.104,-$1.32B,-1.32,Germany,Industrial
264,August von Finck,$9.40B,9.4,-$43.2M,-0.0432,-$45.8M,-0.0458,Germany,Diversified
265,Ding Shijia ,$9.39B,9.39,-$82.9M,-0.0829,-$91.5M,-0.0915,China,Consumer
266,Patrick Drahi ,$9.38B,9.38,-$110M,-0.11,-$4.87B,-4.87,France,Media&Telecom
267,Tim Sweeney ,$9.37B,9.37,$0 ,0,-$76.0M,-0.076,UnitedStates,Technology
268,Niels Louis-Hansen ,$9.30B,9.3,-$283M,-0.283,+$8.01M,0.00801,Denmark,Health Care
269,Alexander Abramov ,$9.25B,9.25,-$60.9M,-0.0609,+$867M,0.867,RussianFederation,Industrial
270,Theo Albrecht Jr,$9.20B,9.2,-$9.96M,-0.00996,+$543M,0.543,Germany,Retail
271,Mitchell Rales ,$9.19B,9.19,+$229M,0.229,+$2.74B,2.74,UnitedStates,Industrial
272,Rocco Commisso ,$9.15B,9.15,-$586M,-0.586,-$780M,-0.78,UnitedStates,Media&Telecom
273,Rupert Murdoch ,$9.14B,9.14,-$122M,-0.122,+$1.68B,1.68,UnitedStates,Media&Telecom
274,Silvio Berlusconi ,$9.09B,9.09,-$126M,-0.126,+$1.01B,1.01,Italy,Media&Telecom
275,Luis Sarmiento ,$9.09B,9.09,+$23.5M,0.0235,-$1.60B,-1.6,Colombia,Finance
276,Taylor Thomson ,$9.07B,9.07,+$63.1M,0.0631,+$2.26B,2.26,Canada,Media&Telecom
277,Alberto Bailleres ,$9.07B,9.07,-$292M,-0.292,-$1.20B,-1.2,Mexico,Commodities
278,George Lucas ,$9.05B,9.05,-$22.6M,-0.0226,-$124M,-0.124,UnitedStates,Entertainment
279,David Thomson ,$9.05B,9.05,+$40.6M,0.0406,+$2.24B,2.24,Canada,Media&Telecom
280,Peter Thomson ,$9.05B,9.05,+$38.1M,0.0381,+$2.24B,2.24,Canada,Media&Telecom
281,Anthony Pratt ,$9.02B,9.02,-$39.7M,-0.0397,+$1.25B,1.25,Australia,Industrial
282,Giorgio Armani ,$9.01B,9.01,+$44.3M,0.0443,+$1.38B,1.38,Italy,Consumer
283,Blair Parry-Okeden ,$9.00B,9,-$54.7M,-0.0547,-$251M,-0.251,UnitedStates,Media&Telecom
284,Jim Kennedy ,$9.00B,9,-$54.7M,-0.0547,-$251M,-0.251,UnitedStates,Media&Telecom
285,Samuel Yin ,$8.95B,8.95,+$30.3M,0.0303,+$4.56B,4.56,Taiwan,Diversified
286,Magdalena Martullo ,$8.93B,8.93,-$6.19M,-0.00619,+$418M,0.418,Switzerland,Industrial
287,Hansjoerg Wyss ,$8.92B,8.92,-$44.0M,-0.044,+$1.02M,0.00102,Switzerland,Health Care
288,Anthony von Mandl,$8.85B,8.85,$0 ,0,+$2.85B,2.85,Canada,Consumer
289,Benu Bangur ,$8.80B,8.8,+$115M,0.115,+$1.23B,1.23,India,Commodities
290,Joseph Tsai ,$8.73B,8.73,-$174M,-0.174,-$3.91B,-3.91,Canada,Technology
291,Reinhold Schmieding ,$8.72B,8.72,-$234M,-0.234,-$31.4M,-0.0314,UnitedStates,Health Care
292,Wang Laisheng ,$8.69B,8.69,-$58.1M,-0.0581,-$1.14B,-1.14,China,Industrial
293,Carlos Sicupira ,$8.68B,8.68,-$262M,-0.262,-$1.35B,-1.35,Brazil,Food&Beverage
294,Andy Bechtolsheim ,$8.66B,8.66,+$32.1M,0.0321,+$1.80B,1.8,Germany,Technology
295,Ernest Garcia III,$8.66B,8.66,+$147M,0.147,+$1.92B,1.92,UnitedStates,Consumer
296,Nusli Wadia ,$8.66B,8.66,-$61.8M,-0.0618,+$765M,0.765,India,Diversified
297,Rahel Blocher ,$8.65B,8.65,+$18.8M,0.0188,+$368M,0.368,Switzerland,Industrial
298,Robert Smith ,$8.65B,8.65,$0 ,0,+$1.60B,1.6,UnitedStates,Finance
299,Pham Nhat Vuong,$8.62B,8.62,+$83.5M,0.0835,+$98.5M,0.0985,VietNam,Real Estate
300,Tammy Gustavson ,$8.62B,8.62,+$8.30M,0.0083,+$2.13B,2.13,UnitedStates,Services
301,David Sun ,$8.57B,8.57,-$426M,-0.426,-$1.48B,-1.48,UnitedStates,Technology
302,John Tu ,$8.57B,8.57,-$426M,-0.426,-$1.48B,-1.48,UnitedStates,Technology
303,Shigenobu Nagamori ,$8.55B,8.55,+$79.4M,0.0794,-$1.04B,-1.04,Japan,Industrial
304,Jude Reyes ,$8.49B,8.49,+$138M,0.138,+$551M,0.551,UnitedStates,Consumer
305,Chris Reyes ,$8.49B,8.49,+$138M,0.138,+$551M,0.551,UnitedStates,Consumer
306,Rahul Bajaj ,$8.49B,8.49,-$47.4M,-0.0474,+$2.92B,2.92,India,Diversified
307,Michael Otto ,$8.49B,8.49,-$192M,-0.192,-$1.57B,-1.57,Germany,Retail
308,Sandra Ortega Mera,$8.48B,8.48,-$52.3M,-0.0523,+$767M,0.767,Spain,Retail
309,John Doerr ,$8.45B,8.45,+$94.0M,0.094,+$3.19B,3.19,UnitedStates,Finance
310,Yu Yong ,$8.42B,8.42,+$182M,0.182,+$3.02B,3.02,China,Finance
311,Iskandar Makhmudov ,$8.40B,8.4,-$116M,-0.116,+$551M,0.551,RussianFederation,Commodities
312,Stephen Ross ,$8.39B,8.39,$0 ,0,+$24.5M,0.0245,UnitedStates,Real Estate
313,James Pattison ,$8.34B,8.34,-$113M,-0.113,+$747M,0.747,Canada,Media&Telecom
314,Xavier Niel ,$8.32B,8.32,-$19.4M,-0.0194,+$1.01B,1.01,France,Technology
315,Ned Johnson IV,$8.32B,8.32,-$77.7M,-0.0777,+$989M,0.989,UnitedStates,Finance
316,Elizabeth Johnson ,$8.32B,8.32,-$75.4M,-0.0754,+$989M,0.989,UnitedStates,Finance
317,Oleg Tinkov ,$8.30B,8.3,-$105M,-0.105,+$4.30B,4.3,RussianFederation,Finance
318,Martin Viessmann&family ,$8.29B,8.29,-$90.4M,-0.0904,+$1.30B,1.3,Germany,Industrial
319,Chase Coleman ,$8.27B,8.27,+$10.6M,0.0106,+$2.91B,2.91,UnitedStates,Finance
320,Johann Graf ,$8.26B,8.26,+$70.8M,0.0708,-$1.82B,-1.82,Austria,Entertainment
321,Mat Ishbia ,$8.26B,8.26,+$33.8M,0.0338,-$3.09B,-3.09,UnitedStates,Finance
322,Wu Shaoxun ,$8.25B,8.25,-$112M,-0.112,-$8.20B,-8.2,China,Food&Beverage
323,Jian Jun ,$8.24B,8.24,+$263M,0.263,+$3.57B,3.57,China,Consumer
324,Wang Jianlin ,$8.22B,8.22,-$58.9M,-0.0589,-$6.84B,-6.84,China,Real Estate
325,Vincent Bollore ,$8.20B,8.2,-$206M,-0.206,+$3.00B,3,France,Diversified
326,Cen Junda ,$8.20B,8.2,-$8.74M,-0.00874,-$8.72B,-8.72,China,Health Care
327,Michael Rubin ,$8.19B,8.19,$0 ,0,$0 ,0,UnitedStates,Retail
328,Richard Kinder ,$8.18B,8.18,-$154M,-0.154,+$1.37B,1.37,UnitedStates,Energy
329,Cai Kui ,$8.18B,8.18,-$73.8M,-0.0738,-$1.09B,-1.09,China,Real Estate
330,Yao Liangsong ,$8.16B,8.16,+$362M,0.362,-$248M,-0.248,China,Retail
331,Li Shuirong ,$8.16B,8.16,+$20.4M,0.0204,-$3.60B,-3.6,China,Energy
332,Nicky Oppenheimer ,$8.15B,8.15,$0 ,0,+$1.00B,1,SouthAfrica,Diversified
333,Ronda Stryker ,$8.13B,8.13,-$21.1M,-0.0211,+$912M,0.912,UnitedStates,Health Care
334,Gabe Newell ,$8.13B,8.13,-$24.1M,-0.0241,-$1.04B,-1.04,UnitedStates,Technology
335,He Xiaopeng ,$8.13B,8.13,+$68.0M,0.068,+$663M,0.663,China,Technology
336,Ralph Lauren ,$8.13B,8.13,+$64.1M,0.0641,+$767M,0.767,UnitedStates,Consumer
337,Cheng Xue ,$8.12B,8.12,+$25.3M,0.0253,-$2.27B,-2.27,China,Food&Beverage
338,Natie Kirsh ,$8.10B,8.1,+$738M,0.738,+$1.64B,1.64,SouthAfrica,Food&Beverage
339,Xu Shihui ,$8.10B,8.1,+$42.4M,0.0424,+$151M,0.151,China,Food&Beverage
340,Josh Harris ,$8.10B,8.1,-$53.3M,-0.0533,+$1.99B,1.99,UnitedStates,Finance
341,Dennis Washington ,$8.07B,8.07,+$7.26M,0.00726,+$941M,0.941,UnitedStates,Industrial
342,Wang Laichun ,$8.06B,8.06,-$58.1M,-0.0581,-$1.78B,-1.78,China,Industrial
343,Frederik Paulsen ,$8.06B,8.06,-$85.3M,-0.0853,+$3.01B,3.01,Sweden,Health Care
344,Zhao Yan ,$8.03B,8.03,+$313M,0.313,+$958M,0.958,China,Health Care
345,Laurence Graff ,$8.01B,8.01,+$126M,0.126,+$1.82B,1.82,UnitedKingdom,Consumer
346,John Sall ,$7.99B,7.99,+$66.5M,0.0665,+$1.46B,1.46,UnitedStates,Technology
347,Andrey Guryev ,$7.98B,7.98,-$201M,-0.201,+$2.87B,2.87,RussianFederation,Industrial
348,Liz Mohn ,$7.96B,7.96,-$230M,-0.23,+$1.20B,1.2,Germany,Media&Telecom
349,Leng You-Bin ,$7.96B,7.96,+$147M,0.147,-$2.78B,-2.78,China,Consumer
350,Tatyana Bakalchuk ,$7.96B,7.96,-$162M,-0.162,-$1.13B,-1.13,RussianFederation,Technology
351,Steven Spielberg ,$7.90B,7.9,$0 ,0,+$750M,0.75,UnitedStates,Entertainment
352,Charles Butt&family ,$7.88B,7.88,$0 ,0,+$2.56B,2.56,UnitedStates,Retail
353,Frank Lowy ,$7.85B,7.85,-$75.0M,-0.075,+$450M,0.45,Australia,Real Estate
354,Juan Beckmann Vidal&family,$7.82B,7.82,+$141M,0.141,-$605M,-0.605,Mexico,Food&Beverage
355,Takahisa Takahara ,$7.80B,7.8,+$64.2M,0.0642,-$1.30B,-1.3,Japan,Consumer
356,Shahid Khan ,$7.73B,7.73,+$2.35M,0.00235,-$465M,-0.465,UnitedStates,Consumer
357,Alexey Kuzmichev ,$7.73B,7.73,-$58.2M,-0.0582,+$308M,0.308,RussianFederation,Diversified
358,Shari Arison ,$7.72B,7.72,-$23.9M,-0.0239,+$1.17B,1.17,Israel,Diversified
359,Lin Bin ,$7.69B,7.69,-$156M,-0.156,-$4.14B,-4.14,UnitedStates,Technology
360,Chen Jianhua ,$7.66B,7.66,-$278M,-0.278,-$1.62B,-1.62,China,Industrial
361,Guillaume Pousaz ,$7.65B,7.65,$0 ,0,$0 ,0,Switzerland,Technology
362,Horst Pudwill ,$7.64B,7.64,-$25.7M,-0.0257,+$2.31B,2.31,Germany,Consumer
363,Wang Yusuo ,$7.64B,7.64,+$504M,0.504,+$2.87B,2.87,China,Energy
364,Tito Beveridge ,$7.61B,7.61,+$233M,0.233,+$696M,0.696,UnitedStates,Consumer
365,Yu Renrong ,$7.57B,7.57,+$39.6M,0.0396,+$1.27B,1.27,China,Technology
366,Andre Hoffmann ,$7.56B,7.56,-$36.9M,-0.0369,+$1.64B,1.64,Switzerland,Health Care
367,Alain Merieux ,$7.55B,7.55,-$67.4M,-0.0674,-$575M,-0.575,France,Health Care
368,George Soros ,$7.50B,7.5,$0 ,0,-$100M,-0.1,UnitedStates,Finance
369,Terry Pegula ,$7.46B,7.46,-$121k,-0.000141,+$1.16B,1.16,UnitedStates,Energy
370,Nancy Laurie ,$7.45B,7.45,+$37.1M,0.0371,+$475M,0.475,UnitedStates,Retail
371,Anthony Bamford&family ,$7.44B,7.44,$0 ,0,-$382M,-0.382,UnitedKingdom,Industrial
372,Jorn Rausing ,$7.43B,7.43,-$130M,-0.13,-$2.38B,-2.38,Sweden,Services
373,Axel Oberwelland ,$7.40B,7.4,-$47.4M,-0.0474,+$1.57B,1.57,Germany,Food&Beverage
374,Sergey Gordeev ,$7.39B,7.39,+$55.4M,0.0554,+$3.59B,3.59,RussianFederation,Real Estate
375,Chip Wilson ,$7.35B,7.35,+$224M,0.224,+$1.39B,1.39,Canada,Retail
376,Stef Wertheimer ,$7.35B,7.35,$0 ,0,+$825M,0.825,Israel,Diversified
377,Manuel Villar ,$7.35B,7.35,-$6.91M,-0.00691,+$674M,0.674,Philippines,Diversified
378,David Shaw ,$7.34B,7.34,+$11.1M,0.0111,+$1.47B,1.47,UnitedStates,Finance
379,Dan Cathy ,$7.33B,7.33,-$73.2M,-0.0732,+$1.34B,1.34,UnitedStates,Food&Beverage
380,Bubba Cathy ,$7.33B,7.33,-$73.2M,-0.0732,+$1.34B,1.34,UnitedStates,Food&Beverage
381,Hui Ka Yan,$7.28B,7.28,-$90.0M,-0.09,-$16.0B,-16,China,Real Estate
382,Teh Hong Piow,$7.28B,7.28,-$15.3M,-0.0153,+$395M,0.395,Malaysia,Finance
383,Ludwig Merckle ,$7.24B,7.24,-$58.5M,-0.0585,-$161M,-0.161,Germany,Industrial
384,Vyacheslav Kantor ,$7.23B,7.23,+$16.1M,0.0161,+$2.04B,2.04,RussianFederation,Industrial
385,Reed Hastings ,$7.23B,7.23,+$131M,0.131,+$483M,0.483,UnitedStates,Technology
386,Peter Thiel ,$7.22B,7.22,+$36.2M,0.0362,+$573M,0.573,UnitedStates,Finance
387,Tom Gores ,$7.22B,7.22,$0 ,0,+$2.07B,2.07,UnitedStates,Finance
388,Bob Rich ,$7.21B,7.21,$0 ,0,+$124M,0.124,UnitedStates,Food&Beverage
389,Mohammed Al Amoudi,$7.20B,7.2,-$233M,-0.233,-$366M,-0.366,SaudiArabia,Energy
390,Mark Shoen ,$7.20B,7.2,+$42.1M,0.0421,+$2.38B,2.38,UnitedStates,Services
391,Vyacheslav Kim ,$7.18B,7.18,+$158M,0.158,+$3.94B,3.94,Kazakhstan,Finance
392,German Larrea ,$7.17B,7.17,-$15.2M,-0.0152,+$865M,0.865,Mexico,Commodities
393,Denis Sverdlov ,$7.14B,7.14,+$155M,0.155,+$2.50B,2.5,RussianFederation,Technology
394,Gwendolyn Sontheim Meyer,$7.13B,7.13,$0 ,0,+$1.10B,1.1,UnitedStates,Commodities
395,Pauline Keinath ,$7.13B,7.13,$0 ,0,+$1.10B,1.1,UnitedStates,Commodities
396,Chris Hohn ,$7.12B,7.12,-$13.3M,-0.0133,+$3.12B,3.12,UnitedKingdom,Finance
397,Patrick Ryan ,$7.12B,7.12,+$56.7M,0.0567,+$1.82B,1.82,UnitedStates,Services
398,Linda Campbell ,$7.11B,7.11,+$24.6M,0.0246,+$1.76B,1.76,Canada,Media&Telecom
399,Gaye Farncombe ,$7.11B,7.11,+$24.6M,0.0246,+$1.76B,1.76,Canada,Media&Telecom
400,Jon Gray ,$7.10B,7.1,-$39.0M,-0.039,+$3.22B,3.22,UnitedStates,Finance
401,Mike Novogratz ,$7.07B,7.07,-$164M,-0.164,+$4.11B,4.11,UnitedStates,Finance
402,Peter-Alexander Wacker&family ,$7.05B,7.05,+$9.51M,0.00951,+$1.32B,1.32,Germany,Industrial
403,Vera Michalski-Hoffmann ,$7.03B,7.03,-$61.9M,-0.0619,+$1.18B,1.18,Switzerland,Health Care
404,Maja Hoffmann ,$7.03B,7.03,-$61.9M,-0.0619,+$1.18B,1.18,Switzerland,Health Care
405,Lynn Schusterman ,$7.02B,7.02,-$11.6M,-0.0116,+$815M,0.815,UnitedStates,Energy
406,Yeung Kin-Man ,$7.02B,7.02,+$288M,0.288,+$1.79B,1.79,HongKong,Technology
407,Lu Weiding ,$7.01B,7.01,-$36.0M,-0.036,+$1.47B,1.47,China,Diversified
