Rank,Name,Total_Net_Worth,Total_Net_Worth_Bil,LastChange,LastChange_Bil,YTDChange,YTDChange_Bil,Country,Industry
466,Arthur Irving ,$4.34B,4.34,$0 ,0,-$3.19B,-3.19,Canada,Energy
467,Sofie Kirk Kristiansen,$6.19B,6.19,-$85.0M,-0.085,-$748M,-0.748,Denmark,Consumer
468,Agnete Kirk Thinggaard,$6.19B,6.19,-$85.0M,-0.085,-$748M,-0.748,Denmark,Consumer
469,Thomas Kirk Kristiansen,$6.19B,6.19,-$85.0M,-0.085,-$748M,-0.748,Denmark,Consumer
470,Ray Hunt ,$6.18B,6.18,-$10.4M,-0.0104,+$1.46B,1.46,UnitedStates,Energy
471,Terry Gou ,$6.16B,6.16,-$15.4M,-0.0154,-$446M,-0.446,Taiwan,Industrial
472,Hui Wing Mau,$6.15B,6.15,-$96.0M,-0.096,-$3.35B,-3.35,HongKong,Real Estate
473,Henry Laufer ,$6.15B,6.15,$0 ,0,+$900M,0.9,UnitedStates,Finance
474,M A Yusuff Ali,$6.13B,6.13,-$30.6M,-0.0306,+$702M,0.702,UAE,Food&Beverage
475,Johan Johannson&family ,$6.12B,6.12,-$92.3M,-0.0923,+$780M,0.78,Norway,Retail
476,Richard Branson ,$6.12B,6.12,+$5.78M,0.00578,+$398M,0.398,UnitedKingdom,Diversified
477,Tony James ,$6.12B,6.12,-$27.4M,-0.0274,+$2.41B,2.41,UnitedStates,Finance
478,Jiang Bin ,$6.12B,6.12,+$210M,0.21,+$33.7M,0.0337,China,Technology
479,Denise Coates ,$6.10B,6.1,-$92.0M,-0.092,-$4.14B,-4.14,UnitedKingdom,Entertainment
480,Andreas Halvorsen ,$6.10B,6.1,+$8.94M,0.00894,+$2.03B,2.03,Norway,Finance
481,Lin Muqin ,$6.10B,6.1,-$93.8M,-0.0938,+$4.51B,4.51,China,Consumer
482,Wang Wenjing ,$6.09B,6.09,+$171M,0.171,-$1.77B,-1.77,China,Technology
483,Barry Lam ,$6.09B,6.09,-$31.8M,-0.0318,+$585M,0.585,Taiwan,Technology
484,Kim Jung-Ju ,$6.08B,6.08,-$214M,-0.214,-$4.23B,-4.23,SouthKorea,Technology
485,Kei Hoi Pang,$6.08B,6.08,-$61.9M,-0.0619,-$2.33B,-2.33,China,Real Estate
486,Antti Herlin ,$6.05B,6.05,+$46.7M,0.0467,-$778M,-0.778,Finland,Industrial
487,Bidzina Ivanishvili ,$6.05B,6.05,$0 ,0,+$375M,0.375,Georgia,Diversified
488,Richard Li ,$5.99B,5.99,-$10.9M,-0.0109,+$1.06B,1.06,HongKong,Media&Telecom
489,Robert Kraft ,$5.99B,5.99,-$486k,-0.000486,+$980M,0.98,UnitedStates,Entertainment
490,Katharine Rayner ,$5.96B,5.96,-$36.2M,-0.0362,-$156M,-0.156,UnitedStates,Media&Telecom
491,Margaretta Taylor ,$5.95B,5.95,-$36.2M,-0.0362,-$166M,-0.166,UnitedStates,Media&Telecom
492,James Cox Chambers,$5.95B,5.95,-$36.2M,-0.0362,-$166M,-0.166,UnitedStates,Media&Telecom
493,Mark Cuban ,$5.95B,5.95,$0 ,0,+$1.03B,1.03,UnitedStates,Technology
494,Eric Smidt ,$5.94B,5.94,+$42.1M,0.0421,+$354M,0.354,UnitedStates,Retail
495,Majid Al Futtaim,$5.92B,5.92,-$6.33M,-0.00633,-$686M,-0.686,UAE,Real Estate
496,Barry Diller ,$5.92B,5.92,-$73.5M,-0.0735,+$366M,0.366,UnitedStates,Technology
497,Cliff Obrecht ,$5.89B,5.89,$0 ,0,+$4.99B,4.99,Australia,Services
498,Melanie Perkins ,$5.89B,5.89,$0 ,0,+$4.99B,4.99,Australia,Services
499,Trevor Rees-Jones ,$5.89B,5.89,-$106M,-0.106,+$898M,0.898,UnitedStates,Energy
500,Frits Goldschmeding ,$5.88B,5.88,-$90.7M,-0.0907,+$621M,0.621,Netherlands,Retail
